Date,Time,Tosser,Toss #,Start,End: H,End: T,,,Time,Tosser,Toss #,Start,End: H,End: T
,,,11773,H,1,,,,,,11873,T,1,
,,,11774,H,,1,,,,,11874,T,,1
,,,11775,H,1,,,,,,11875,T,1,
,,,11776,H,1,,,,,,11876,T,,1
,,,11777,H,1,,,,,,11877,T,,1
,,,11778,H,1,,,,,,11878,T,1,
,,,11779,H,1,,,,,,11879,T,,1
,,,11780,H,,1,,,,,11880,T,,1
,,,11781,H,,1,,,,,11881,T,,1
,,,11782,H,,1,,,,,11882,T,,1
,,,11783,H,,1,,,,,11883,T,1,
,,,11784,H,1,,,,,,11884,T,1,
,,,11785,H,1,,,,,,11885,T,,1
,,,11786,H,1,,,,,,11886,T,1,
,,,11787,H,1,,,,,,11887,T,1,
,,,11788,H,,1,,,,,11888,T,,1
,,,11789,H,,1,,,,,11889,T,1,
,,,11790,H,1,,,,,,11890,T,1,
,,,11791,H,,1,,,,,11891,T,1,
,,,11792,H,,1,,,,,11892,T,,1
,,,11793,H,1,,,,,,11893,T,,1
,,,11794,H,1,,,,,,11894,T,1,
,,,11795,H,,1,,,,,11895,T,,1
,,,11796,H,1,,,,,,11896,T,,1
,,,11797,H,,1,,,,,11897,T,,1
,,,11798,H,,1,,,,,11898,T,,1
,,,11799,H,1,,,,,,11899,T,1,
,,,11800,H,1,,,,,,11900,T,,1
,,,,,,,,,,,,,,
,,9:02pm,11901,H,1,,,,,9:09pm,12001,T,1,
,,,11902,H,1,,,,,,12002,T,,1
,,,11903,H,1,,,,,,12003,T,1,
,,,11904,H,1,,,,,,12004,T,,1
,,,11905,H,1,,,,,,12005,T,,1
,,,11906,H,1,,,,,,12006,T,1,
,,,11907,H,1,,,,,,12007,T,1,
,,,11908,H,,1,,,,,12008,T,,1
,,,11909,H,1,,,,,,12009,T,,1
,,,11910,H,,1,,,,,12010,T,1,
,,,11911,H,,1,,,,,12011,T,1,
,,,11912,H,,1,,,,,12012,T,1,
,,,11913,H,1,,,,,,12013,T,,1
,,,11914,H,,1,,,,,12014,T,,1
,,,11915,H,1,,,,,,12015,T,,1
,,,11916,H,1,,,,,,12016,T,,1
,,,11917,H,,1,,,,,12017,T,,1
,,,11918,H,1,,,,,,12018,T,,1
,,,11919,H,,1,,,,,12019,T,,1
,,,11920,H,1,,,,,,12020,T,1,
,,,11921,H,,1,,,,,12021,T,1,
,,,11922,H,,1,,,,,12022,T,1,
,,,11923,H,,1,,,,,12023,T,1,
,,,11924,H,1,,,,,,12024,T,1,
,,,11925,H,,1,,,,,12025,T,1,
,,,11926,H,,1,,,,,12026,T,,1
,,,11927,H,,1,,,,,12027,T,,1
,,,11928,H,1,,,,,,12028,T,,1
,,,11929,H,1,,,,,,12029,T,,1
,,,11930,H,,1,,,,,12030,T,1,
,,,11931,H,1,,,,,,12031,T,,1
,,,11932,H,1,,,,,,12032,T,1,
,,,11933,H,1,,,,,,12033,T,,1
,,,11934,H,,1,,,,,12034,T,,1
,,,11935,H,1,,,,,,12035,T,1,
,,,11936,H,1,,,,,,12036,T,1,
,,,11937,H,,1,,,,,12037,T,,1
,,,11938,H,,1,,,,,12038,T,,1
,,,11939,H,,1,,,,,12039,T,,1
,,,11940,H,1,,,,,,12040,T,,1
,,,11941,H,1,,,,,,12041,T,,1
,,,11942,H,1,,,,,,12042,T,,1
,,,11943,H,,1,,,,,12043,T,,1
,,,11944,H,,1,,,,,12044,T,1,
,,,11945,H,,1,,,,,12045,T,,1
,,,11946,H,1,,,,,,12046,T,1,
,,,11947,H,1,,,,,,12047,T,,1
,,,11948,H,1,,,,,,12048,T,1,
,,,11949,H,,1,,,,,12049,T,,1
,,,11950,H,1,,,,,,12050,T,,1
,,,11951,H,1,,,,,,12051,T,,1
,,,11952,H,1,,,,,,12052,T,,1
,,,11953,H,1,,,,,,12053,T,,1
,,,11954,H,,1,,,,,12054,T,,1
,,,11955,H,,1,,,,,12055,T,,1
,,,11956,H,,1,,,,,12056,T,,1
,,,11957,H,1,,,,,,12057,T,1,
,,,11958,H,,1,,,,,12058,T,1,
,,,11959,H,,1,,,,,12059,T,,1
,,,11960,H,1,,,,,,12060,T,1,
,,,11961,H,1,,,,,,12061,T,,1
,,,11962,H,1,,,,,,12062,T,,1
,,,11963,H,1,,,,,,12063,T,1,
,,,11964,H,,1,,,,,12064,T,1,
,,,11965,H,1,,,,,,12065,T,,1
,,,11966,H,,1,,,,,12066,T,,1
,,,11967,H,,1,,,,,12067,T,,1
,,,11968,H,1,,,,,,12068,T,,1
,,,11969,H,,1,,,,,12069,T,,1
,,,11970,H,,1,,,,,12070,T,,1
,,,11971,H,1,,,,,,12071,T,1,
,,,11972,H,,1,,,,,12072,T,1,
,,,11973,H,,1,,,,,12073,T,1,
,,,11974,H,,1,,,,,12074,T,1,
,,,11975,H,1,,,,,,12075,T,,1
,,,11976,H,,1,,,,,12076,T,,1
,,,11977,H,,1,,,,,12077,T,,1
,,,11978,H,,1,,,,,12078,T,1,
,,,11979,H,1,,,,,,12079,T,,1
,,,11980,H,,1,,,,,12080,T,1,
,,,11981,H,,1,,,,,12081,T,1,
,,,11982,H,1,,,,,,12082,T,,1
,,,11983,H,,1,,,,,12083,T,,1
,,,11984,H,,1,,,,,12084,T,1,
,,,11985,H,,1,,,,,12085,T,1,
,,,11986,H,,1,,,,,12086,T,1,
,,,11987,H,,1,,,,,12087,T,,1
,,,11988,H,,1,,,,,12088,T,1,
,,,11989,H,,1,,,,,12089,T,,1
,,,11990,H,,1,,,,,12090,T,1,
,,,11991,H,1,,,,,,12091,T,,1
,,,11992,H,1,,,,,,12092,T,,1
,,,11993,H,,1,,,,,12093,T,,1
,,,11994,H,1,,,,,,12094,T,,1
,,,11995,H,,1,,,,,12095,T,1,
,,,11996,H,,1,,,,,12096,T,,1
,,,11997,H,,1,,,,,12097,T,1,
,,,11998,H,,1,,,,,12098,T,,1
,,,11999,H,1,,,,,,12099,T,,1
,,,12000,H,1,,,,,,12100,T,,1
,,,,,,,,,,,,,,
,,9:16pm,12101,H,,1,,,,9:23pm,12201,T,,1
,,,12102,H,1,,,,,,12202,T,1,
,,,12103,H,1,,,,,,12203,T,,1
,,,12104,H,,1,,,,,12204,T,,1
,,,12105,H,1,,,,,,12205,T,,1
,,,12106,H,1,,,,,,12206,T,,1
,,,12107,H,1,,,,,,12207,T,,1
,,,12108,H,,1,,,,,12208,T,1,
,,,12109,H,1,,,,,,12209,T,1,
,,,12110,H,,1,,,,,12210,T,1,
,,,12111,H,,1,,,,,12211,T,1,
,,,12112,H,1,,,,,,12212,T,1,
,,,12113,H,,1,,,,,12213,T,1,
,,,12114,H,,1,,,,,12214,T,1,
,,,12115,H,1,,,,,,12215,T,1,
,,,12116,H,,1,,,,,12216,T,1,
,,,12117,H,,1,,,,,12217,T,1,
,,,12118,H,1,,,,,,12218,T,,1
,,,12119,H,,1,,,,,12219,T,,1
,,,12120,H,1,,,,,,12220,T,,1
,,,12121,H,,1,,,,,12221,T,1,
,,,12122,H,,1,,,,,12222,T,1,
,,,12123,H,,1,,,,,12223,T,1,
,,,12124,H,1,,,,,,12224,T,1,
,,,12125,H,1,,,,,,12225,T,1,
,,,12126,H,,1,,,,,12226,T,1,
,,,12127,H,1,,,,,,12227,T,,1
,,,12128,H,,1,,,,,12228,T,1,
,,,12129,H,1,,,,,,12229,T,1,
,,,12130,H,,1,,,,,12230,T,,1
,,,12131,H,1,,,,,,12231,T,1,
,,,12132,H,,1,,,,,12232,T,,1
,,,12133,H,,1,,,,,12233,T,1,
,,,12134,H,1,,,,,,12234,T,1,
,,,12135,H,1,,,,,,12235,T,,1
,,,12136,H,,1,,,,,12236,T,,1
,,,12137,H,1,,,,,,12237,T,1,
,,,12138,H,,1,,,,,12238,T,,1
,,,12139,H,1,,,,,,12239,T,1,
,,,12140,H,1,,,,,,12240,T,1,
,,,12141,H,1,,,,,,12241,T,,1
,,,12142,H,1,,,,,,12242,T,1,
,,,12143,H,,1,,,,,12243,T,,1
,,,12144,H,,1,,,,,12244,T,,1
,,,12145,H,1,,,,,,12245,T,1,
,,,12146,H,1,,,,,,12246,T,1,
,,,12147,H,,1,,,,,12247,T,1,
,,,12148,H,,1,,,,,12248,T,1,
,,,12149,H,,1,,,,,12249,T,1,
,,,12150,H,,1,,,,,12250,T,,1
,,,12151,H,,1,,,,,12251,T,1,
,,,12152,H,1,,,,,,12252,T,1,
,,,12153,H,1,,,,,,12253,T,,1
,,,12154,H,1,,,,,,12254,T,1,
,,,12155,H,1,,,,,,12255,T,1,
,,,12156,H,1,,,,,,12256,T,,1
,,,12157,H,1,,,,,,12257,T,1,
,,,12158,H,,1,,,,,12258,T,,1
,,,12159,H,1,,,,,,12259,T,,1
,,,12160,H,1,,,,,,12260,T,,1
,,,12161,H,1,,,,,,12261,T,,1
,,,12162,H,1,,,,,,12262,T,,1
,,,12163,H,1,,,,,,12263,T,,1
,,,12164,H,1,,,,,,12264,T,,1
,,,12165,H,,1,,,,,12265,T,1,
,,,12166,H,1,,,,,,12266,T,,1
,,,12167,H,,1,,,,,12267,T,,1
,,,12168,H,,1,,,,,12268,T,,1
,,,12169,H,,1,,,,,12269,T,1,
,,,12170,H,1,,,,,,12270,T,,1
,,,12171,H,1,,,,,,12271,T,1,
,,,12172,H,,1,,,,,12272,T,,1
,,,12173,H,1,,,,,,12273,T,,1
,,,12174,H,,1,,,,,12274,T,1,
,,,12175,H,,1,,,,,12275,T,,1
,,,12176,H,1,,,,,,12276,T,1,
,,,12177,H,1,,,,,,12277,T,1,
,,,12178,H,,1,,,,,12278,T,,1
,,,12179,H,1,,,,,,12279,T,1,
,,,12180,H,1,,,,,,12280,T,1,
,,,12181,H,1,,,,,,12281,T,1,
,,,12182,H,1,,,,,,12282,T,,1
,,,12183,H,1,,,,,,12283,T,1,
,,,12184,H,1,,,,,,12284,T,1,
,,,12185,H,,1,,,,,12285,T,1,
,,,12186,H,,1,,,,,12286,T,,1
,,,12187,H,1,,,,,,12287,T,1,
,,,12188,H,1,,,,,,12288,T,1,
,,,12189,H,1,,,,,,12289,T,1,
,,,12190,H,1,,,,,,12290,T,1,
,,,12191,H,1,,,,,,12291,T,1,
,,,12192,H,1,,,,,,12292,T,,1
,,,12193,H,,1,,,,,12293,T,1,
,,,12194,H,1,,,,,,12294,T,,1
,,,12195,H,,1,,,,,12295,T,,1
,,,12196,H,1,,,,,,12296,T,1,
,,,12197,H,1,,,,,,12297,T,1,
,,,12198,H,1,,,,,,12298,T,1,
,,,12199,H,,1,,,,,12299,T,1,
,,,12200,H,,1,,,,,12300,T,,1
,,,,,,,,,,,,,,
,,9:29pm,12301,H,,1,,,,9:37pm,12401,T,,1
,,,12302,H,,1,,,,,12402,T,1,
,,,12303,H,,1,,,,,12403,T,,1
,,,12304,H,1,,,,,,12404,T,1,
,,,12305,H,,1,,,,,12405,T,,1
,,,12306,H,1,,,,,,12406,T,,1
,,,12307,H,,1,,,,,12407,T,1,
,,,12308,H,1,,,,,,12408,T,,1
,,,12309,H,1,,,,,,12409,T,1,
,,,12310,H,,1,,,,,12410,T,1,
,,,12311,H,,1,,,,,12411,T,1,
,,,12312,H,1,,,,,,12412,T,,1
,,,12313,H,,1,,,,,12413,T,1,
,,,12314,H,1,,,,,,12414,T,,1
,,,12315,H,,1,,,,,12415,T,,1
,,,12316,H,1,,,,,,12416,T,1,
,,,12317,H,,1,,,,,12417,T,1,
,,,12318,H,,1,,,,,12418,T,,1
,,,12319,H,,1,,,,,12419,T,1,
,,,12320,H,1,,,,,,12420,T,,1
,,,12321,H,,1,,,,,12421,T,,1
,,,12322,H,,1,,,,,12422,T,1,
,,,12323,H,1,,,,,,12423,T,1,
,,,12324,H,1,,,,,,12424,T,,1
,,,12325,H,1,,,,,,12425,T,1,
,,,12326,H,1,,,,,,12426,T,,1
,,,12327,H,1,,,,,,12427,T,1,
,,,12328,H,1,,,,,,12428,T,,1
,,,12329,H,1,,,,,,12429,T,1,
,,,12330,H,,1,,,,,12430,T,1,
,,,12331,H,,1,,,,,12431,T,1,
,,,12332,H,,1,,,,,12432,T,1,
,,,12333,H,,1,,,,,12433,T,1,
,,,12334,H,,1,,,,,12434,T,1,
,,,12335,H,1,,,,,,12435,T,,1
,,,12336,H,1,,,,,,12436,T,,1
,,,12337,H,1,,,,,,12437,T,1,
,,,12338,H,1,,,,,,12438,T,,1
,,,12339,H,1,,,,,,12439,T,1,
,,,12340,H,1,,,,,,12440,T,1,
,,,12341,H,1,,,,,,12441,T,,1
,,,12342,H,,1,,,,,12442,T,1,
,,,12343,H,1,,,,,,12443,T,1,
,,,12344,H,1,,,,,,12444,T,,1
,,,12345,H,1,,,,,,12445,T,1,
,,,12346,H,1,,,,,,12446,T,,1
,,,12347,H,1,,,,,,12447,T,,1
,,,12348,H,1,,,,,,12448,T,,1
,,,12349,H,1,,,,,,12449,T,1,
,,,12350,H,,1,,,,,12450,T,1,
,,,12351,H,,1,,,,,12451,T,,1
,,,12352,H,1,,,,,,12452,T,,1
,,,12353,H,1,,,,,,12453,T,,1
,,,12354,H,1,,,,,,12454,T,,1
,,,12355,H,,1,,,,,12455,T,,1
,,,12356,H,,1,,,,,12456,T,,1
,,,12357,H,,1,,,,,12457,T,,1
,,,12358,H,,1,,,,,12458,T,,1
,,,12359,H,1,,,,,,12459,T,,1
,,,12360,H,,1,,,,,12460,T,1,
,,,12361,H,1,,,,,,12461,T,,1
,,,12362,H,1,,,,,,12462,T,1,
,,,12363,H,1,,,,,,12463,T,1,
,,,12364,H,,1,,,,,12464,T,1,
,,,12365,H,1,,,,,,12465,T,1,
,,,12366,H,,1,,,,,12466,T,,1
,,,12367,H,,1,,,,,12467,T,,1
,,,12368,H,1,,,,,,12468,T,,1
,,,12369,H,1,,,,,,12469,T,,1
,,,12370,H,,1,,,,,12470,T,1,
,,,12371,H,,1,,,,,12471,T,1,
,,,12372,H,1,,,,,,12472,T,,1
,,,12373,H,,1,,,,,12473,T,,1
,,,12374,H,,1,,,,,12474,T,,1
,,,12375,H,,1,,,,,12475,T,1,
,,,12376,H,1,,,,,,12476,T,,1
,,,12377,H,,1,,,,,12477,T,,1
,,,12378,H,,1,,,,,12478,T,1,
,,,12379,H,1,,,,,,12479,T,1,
,,,12380,H,1,,,,,,12480,T,1,
,,,12381,H,1,,,,,,12481,T,,1
,,,12382,H,1,,,,,,12482,T,,1
,,,12383,H,1,,,,,,12483,T,1,
,,,12384,H,1,,,,,,12484,T,1,
,,,12385,H,1,,,,,,12485,T,,1
,,,12386,H,,1,,,,,12486,T,,1
,,,12387,H,,1,,,,,12487,T,,1
,,,12388,H,,1,,,,,12488,T,,1
,,,12389,H,1,,,,,,12489,T,1,
,,,12390,H,,1,,,,,12490,T,,1
,,,12391,H,1,,,,,,12491,T,,1
,,,12392,H,1,,,,,,12492,T,,1
,,,12393,H,1,,,,,,12493,T,,1
,,,12394,H,,1,,,,,12494,T,,1
,,,12395,H,,1,,,,,12495,T,1,
,,,12396,H,,1,,,,,12496,T,,1
,,,12397,H,,1,,,,,12497,T,1,
,,,12398,H,,1,,,,,12498,T,1,
,,,12399,H,1,,,,,,12499,T,1,
,,,12400,H,,1,,,,,12500,T,1,
,,,,,,,,,,,,,,
,,9:44pm,12501,H,1,,,,,9:50pm,12601,T,1,
,,,12502,H,1,,,,,,12602,T,,1
,,,12503,H,,1,,,,,12603,T,,1
,,,12504,H,,1,,,,,12604,T,,1
,,,12505,H,,1,,,,,12605,T,1,
,,,12506,H,,1,,,,,12606,T,1,
,,,12507,H,,1,,,,,12607,T,1,
,,,12508,H,,1,,,,,12608,T,,1
,,,12509,H,,1,,,,,12609,T,,1
,,,12510,H,,1,,,,,12610,T,,1
,,,12511,H,1,,,,,,12611,T,1,
,,,12512,H,,1,,,,,12612,T,1,
,,,12513,H,,1,,,,,12613,T,1,
,,,12514,H,1,,,,,,12614,T,1,
,,,12515,H,,1,,,,,12615,T,,1
,,,12516,H,,1,,,,,12616,T,,1
,,,12517,H,,1,,,,,12617,T,1,
,,,12518,H,,1,,,,,12618,T,1,
,,,12519,H,,1,,,,,12619,T,,1
,,,12520,H,,1,,,,,12620,T,1,
,,,12521,H,,1,,,,,12621,T,1,
,,,12522,H,1,,,,,,12622,T,1,
,,,12523,H,,1,,,,,12623,T,,1
,,,12524,H,1,,,,,,12624,T,,1
,,,12525,H,1,,,,,,12625,T,,1
,,,12526,H,,1,,,,,12626,T,1,
,,,12527,H,1,,,,,,12627,T,1,
,,,12528,H,,1,,,,,12628,T,1,
,,,12529,H,1,,,,,,12629,T,,1
,,,12530,H,1,,,,,,12630,T,1,
,,,12531,H,1,,,,,,12631,T,,1
,,,12532,H,1,,,,,,12632,T,,1
,,,12533,H,1,,,,,,12633,T,1,
,,,12534,H,1,,,,,,12634,T,1,
,,,12535,H,1,,,,,,12635,T,,1
,,,12536,H,,1,,,,,12636,T,,1
,,,12537,H,1,,,,,,12637,T,,1
,,,12538,H,,1,,,,,12638,T,,1
,,,12539,H,,1,,,,,12639,T,1,
,,,12540,H,,1,,,,,12640,T,1,
,,,12541,H,,1,,,,,12641,T,,1
,,,12542,H,1,,,,,,12642,T,1,
,,,12543,H,,1,,,,,12643,T,,1
,,,12544,H,1,,,,,,12644,T,,1
,,,12545,H,,1,,,,,12645,T,,1
,,,12546,H,1,,,,,,12646,T,1,
,,,12547,H,1,,,,,,12647,T,,1
,,,12548,H,1,,,,,,12648,T,1,
,,,12549,H,,1,,,,,12649,T,,1
,,,12550,H,1,,,,,,12650,T,1,
,,,12551,H,1,,,,,,12651,T,,1
,,,12552,H,,1,,,,,12652,T,,1
,,,12553,H,1,,,,,,12653,T,1,
,,,12554,H,1,,,,,,12654,T,1,
,,,12555,H,,1,,,,,12655,T,1,
,,,12556,H,1,,,,,,12656,T,1,
,,,12557,H,1,,,,,,12657,T,1,
,,,12558,H,1,,,,,,12658,T,,1
,,,12559,H,1,,,,,,12659,T,,1
,,,12560,H,,1,,,,,12660,T,1,
,,,12561,H,,1,,,,,12661,T,1,
,,,12562,H,1,,,,,,12662,T,,1
,,,12563,H,,1,,,,,12663,T,1,
,,,12564,H,,1,,,,,12664,T,,1
,,,12565,H,1,,,,,,12665,T,1,
,,,12566,H,1,,,,,,12666,T,1,
,,,12567,H,,1,,,,,12667,T,,1
,,,12568,H,1,,,,,,12668,T,1,
,,,12569,H,,1,,,,,12669,T,1,
,,,12570,H,1,,,,,,12670,T,,1
,,,12571,H,1,,,,,,12671,T,,1
,,,12572,H,1,,,,,,12672,T,1,
,,,12573,H,,1,,,,,12673,T,,1
,,,12574,H,1,,,,,,12674,T,,1
,,,12575,H,,1,,,,,12675,T,1,
,,,12576,H,1,,,,,,12676,T,,1
,,,12577,H,1,,,,,,12677,T,,1
,,,12578,H,,1,,,,,12678,T,1,
,,,12579,H,1,,,,,,12679,T,,1
,,,12580,H,1,,,,,,12680,T,,1
,,,12581,H,1,,,,,,12681,T,1,
,,,12582,H,,1,,,,,12682,T,,1
,,,12583,H,1,,,,,,12683,T,1,
,,,12584,H,,1,,,,,12684,T,1,
,,,12585,H,1,,,,,,12685,T,1,
,,,12586,H,,1,,,,,12686,T,,1
,,,12587,H,1,,,,,,12687,T,,1
,,,12588,H,,1,,,,,12688,T,1,
,,,12589,H,,1,,,,,12689,T,1,
,,,12590,H,,1,,,,,12690,T,1,
,,,12591,H,1,,,,,,12691,T,1,
,,,12592,H,,1,,,,,12692,T,1,
,,,12593,H,1,,,,,,12693,T,1,
,,,12594,H,,1,,,,,12694,T,,1
,,,12595,H,1,,,,,,12695,T,1,
,,,12596,H,1,,,,,,12696,T,1,
,,,12597,H,1,,,,,,12697,T,,1
,,,12598,H,,1,,,,,12698,T,,1
,,,12599,H,,1,,,,,12699,T,,1
,,,12600,H,1,,,,,,12700,T,1,
,,,,,,,,,,,,,,
,,9:56pm,12701,H,,1,,,,10:03pm,12801,T,,1
,,,12702,H,1,,,,,,12802,T,,1
,,,12703,H,1,,,,,,12803,T,1,
,,,12704,H,,1,,,,,12804,T,,1
,,,12705,H,,1,,,,,12805,T,1,
,,,12706,H,1,,,,,,12806,T,1,
,,,12707,H,1,,,,,,12807,T,1,
,,,12708,H,,1,,,,,12808,T,,1
,,,12709,H,1,,,,,,12809,T,,1
,,,12710,H,,1,,,,,12810,T,,1
,,,12711,H,,1,,,,,12811,T,1,
,,,12712,H,1,,,,,,12812,T,1,
,,,12713,H,,1,,,,,12813,T,1,
,,,12714,H,,1,,,,,12814,T,,1
,,,12715,H,1,,,,,,12815,T,1,
,,,12716,H,,1,,,,,12816,T,,1
,,,12717,H,1,,,,,,12817,T,,1
,,,12718,H,1,,,,,,12818,T,,1
,,,12719,H,,1,,,,,12819,T,1,
,,,12720,H,1,,,,,,12820,T,1,
,,,12721,H,1,,,,,,12821,T,1,
,,,12722,H,1,,,,,,12822,T,,1
,,,12723,H,,1,,,,,12823,T,,1
,,,12724,H,,1,,,,,12824,T,1,
,,,12725,H,1,,,,,,12825,T,1,
,,,12726,H,1,,,,,,12826,T,,1
,,,12727,H,1,,,,,,12827,T,1,
,,,12728,H,,1,,,,,12828,T,,1
,,,12729,H,1,,,,,,12829,T,1,
,,,12730,H,1,,,,,,12830,T,,1
,,,12731,H,1,,,,,,12831,T,,1
,,,12732,H,,1,,,,,12832,T,,1
,,,12733,H,1,,,,,,12833,T,,1
,,,12734,H,,1,,,,,12834,T,,1
,,,12735,H,,1,,,,,12835,T,,1
,,,12736,H,1,,,,,,12836,T,1,
,,,12737,H,,1,,,,,12837,T,,1
,,,12738,H,1,,,,,,12838,T,,1
,,,12739,H,,1,,,,,12839,T,,1
,,,12740,H,,1,,,,,12840,T,,1
,,,12741,H,,1,,,,,12841,T,,1
,,,12742,H,1,,,,,,12842,T,,1
,,,12743,H,,1,,,,,12843,T,,1
,,,12744,H,1,,,,,,12844,T,1,
,,,12745,H,1,,,,,,12845,T,,1
,,,12746,H,,1,,,,,12846,T,,1
,,,12747,H,1,,,,,,12847,T,,1
,,,12748,H,1,,,,,,12848,T,1,
,,,12749,H,,1,,,,,12849,T,,1
,,,12750,H,1,,,,,,12850,T,1,
,,,12751,H,1,,,,,,12851,T,,1
,,,12752,H,,1,,,,,12852,T,1,
,,,12753,H,1,,,,,,12853,T,1,
,,,12754,H,1,,,,,,12854,T,1,
,,,12755,H,1,,,,,,12855,T,,1
,,,12756,H,1,,,,,,12856,T,1,
,,,12757,H,,1,,,,,12857,T,,1
,,,12758,H,,1,,,,,12858,T,,1
,,,12759,H,,1,,,,,12859,T,,1
,,,12760,H,1,,,,,,12860,T,,1
,,,12761,H,1,,,,,,12861,T,1,
,,,12762,H,,1,,,,,12862,T,1,
,,,12763,H,,1,,,,,12863,T,1,
,,,12764,H,1,,,,,,12864,T,1,
,,,12765,H,,1,,,,,12865,T,1,
,,,12766,H,1,,,,,,12866,T,1,
,,,12767,H,,1,,,,,12867,T,1,
,,,12768,H,,1,,,,,12868,T,,1
,,,12769,H,,1,,,,,12869,T,,1
,,,12770,H,,1,,,,,12870,T,1,
,,,12771,H,,1,,,,,12871,T,1,
,,,12772,H,1,,,,,,12872,T,1,
,,,12773,H,,1,,,,,12873,T,,1
,,,12774,H,1,,,,,,12874,T,1,
,,,12775,H,1,,,,,,12875,T,,1
,,,12776,H,1,,,,,,12876,T,,1
,,,12777,H,,1,,,,,12877,T,1,
,,,12778,H,1,,,,,,12878,T,,1
,,,12779,H,1,,,,,,12879,T,1,
,,,12780,H,,1,,,,,12880,T,1,
,,,12781,H,,1,,,,,12881,T,,1
,,,12782,H,1,,,,,,12882,T,,1
,,,12783,H,1,,,,,,12883,T,1,
,,,12784,H,1,,,,,,12884,T,,1
,,,12785,H,1,,,,,,12885,T,,1
,,,12786,H,,1,,,,,12886,T,1,
,,,12787,H,,1,,,,,12887,T,1,
,,,12788,H,1,,,,,,12888,T,1,
,,,12789,H,1,,,,,,12889,T,,1
,,,12790,H,1,,,,,,12890,T,,1
,,,12791,H,1,,,,,,12891,T,,1
,,,12792,H,1,,,,,,12892,T,,1
,,,12793,H,,1,,,,,12893,T,,1
,,,12794,H,,1,,,,,12894,T,1,
,,,12795,H,1,,,,,,12895,T,1,
,,,12796,H,,1,,,,,12896,T,,1
,,,12797,H,1,,,,,,12897,T,,1
,,,12798,H,,1,,,,,12898,T,,1
,,,12799,H,1,,,,,,12899,T,1,
,,,12800,H,1,,,,,,12900,T,1,
,,,,,,,,,,,,,,
,,10:11pm,12901,H,1,,,,,10:17pm,13001,T,1,
,,,12902,H,1,,,,,,13002,T,,1
,,,12903,H,1,,,,,,13003,T,1,
,,,12904,H,,1,,,,,13004,T,,1
,,,12905,H,1,,,,,,13005,T,1,
,,,12906,H,,1,,,,,13006,T,1,
,,,12907,H,1,,,,,,13007,T,,1
,,,12908,H,,1,,,,,13008,T,1,
,,,12909,H,1,,,,,,13009,T,1,
,,,12910,H,1,,,,,,13010,T,,1
,,,12911,H,1,,,,,,13011,T,,1
,,,12912,H,1,,,,,,13012,T,,1
,,,12913,H,,1,,,,,13013,T,,1
,,,12914,H,1,,,,,,13014,T,1,
,,,12915,H,1,,,,,,13015,T,1,
,,,12916,H,,1,,,,,13016,T,,1
,,,12917,H,1,,,,,,13017,T,,1
,,,12918,H,,1,,,,,13018,T,1,
,,,12919,H,,1,,,,,13019,T,1,
,,,12920,H,,1,,,,,13020,T,1,
,,,12921,H,1,,,,,,13021,T,,1
,,,12922,H,1,,,,,,13022,T,,1
,,,12923,H,1,,,,,,13023,T,,1
,,,12924,H,1,,,,,,13024,T,1,
,,,12925,H,1,,,,,,13025,T,,1
,,,12926,H,,1,,,,,13026,T,,1
,,,12927,H,,1,,,,,13027,T,,1
,,,12928,H,,1,,,,,13028,T,1,
,,,12929,H,1,,,,,,13029,T,,1
,,,12930,H,1,,,,,,13030,T,,1
,,,12931,H,,1,,,,,13031,T,,1
,,,12932,H,1,,,,,,13032,T,1,
,,,12933,H,1,,,,,,13033,T,1,
,,,12934,H,,1,,,,,13034,T,1,
,,,12935,H,1,,,,,,13035,T,1,
,,,12936,H,1,,,,,,13036,T,1,
,,,12937,H,,1,,,,,13037,T,,1
,,,12938,H,1,,,,,,13038,T,1,
,,,12939,H,,1,,,,,13039,T,,1
,,,12940,H,1,,,,,,13040,T,1,
,,,12941,H,1,,,,,,13041,T,,1
,,,12942,H,1,,,,,,13042,T,,1
,,,12943,H,,1,,,,,13043,T,1,
,,,12944,H,1,,,,,,13044,T,,1
,,,12945,H,1,,,,,,13045,T,,1
,,,12946,H,1,,,,,,13046,T,1,
,,,12947,H,,1,,,,,13047,T,,1
,,,12948,H,,1,,,,,13048,T,,1
,,,12949,H,,1,,,,,13049,T,,1
,,,12950,H,,1,,,,,13050,T,1,
,,,12951,H,1,,,,,,13051,T,,1
,,,12952,H,,1,,,,,13052,T,,1
,,,12953,H,,1,,,,,13053,T,1,
,,,12954,H,1,,,,,,13054,T,1,
,,,12955,H,1,,,,,,13055,T,1,
,,,12956,H,,1,,,,,13056,T,1,
,,,12957,H,1,,,,,,13057,T,1,
,,,12958,H,,1,,,,,13058,T,1,
,,,12959,H,1,,,,,,13059,T,,1
,,,12960,H,,1,,,,,13060,T,,1
,,,12961,H,,1,,,,,13061,T,,1
,,,12962,H,,1,,,,,13062,T,1,
,,,12963,H,,1,,,,,13063,T,1,
,,,12964,H,1,,,,,,13064,T,1,
,,,12965,H,1,,,,,,13065,T,,1
,,,12966,H,,1,,,,,13066,T,,1
,,,12967,H,,1,,,,,13067,T,,1
,,,12968,H,1,,,,,,13068,T,1,
,,,12969,H,,1,,,,,13069,T,,1
,,,12970,H,1,,,,,,13070,T,,1
,,,12971,H,1,,,,,,13071,T,,1
