Date,Time,Tosser,Toss #,Start,End: H,End: T,,,Time,Tosser,Toss #,Start,End: H,End: T
,,,246,H,,1,,,,,296,T,1,
,,,247,H,,1,,,,,297,T,,1
,,,248,H,1,,,,,,298,T,,1
,,,249,H,,1,,,,,299,T,1,
,,,250,H,1,,,,,,300,T,1,
,9:19PM,Janet,301,H,,1,,,09:24,Priscilla,351,T,1,
,,,302,H,1,,,,,,352,T,,1
,,,303,H,,1,,,,,353,T,1,
,,,304,H,,1,,,,,354,T,1,
,,,305,H,1,,,,,,355,T,,1
,,,306,H,,1,,,,,356,T,,1
,,,307,H,1,,,,,,357,T,,1
,,,308,H,,1,,,,,358,T,1,
,,,309,H,1,,,,,,359,T,1,
,,,310,H,,1,,,,,360,T,1,
,,,311,H,,1,,,,,361,T,,1
,,,312,H,1,,,,,,362,T,1,
,,,313,H,1,,,,,,363,T,1,
,,,314,H,1,,,,,,364,T,1,
,,,315,H,,1,,,,,365,T,1,
,,,316,H,,1,,,,,366,T,,1
,,,317,H,1,,,,,,367,T,,1
,,,318,H,1,,,,,,368,T,,1
,,,319,H,1,,,,,,369,T,1,
,,,320,H,,1,,,,,370,T,,1
,,,321,H,,1,,,,,371,T,,1
,,,322,H,,1,,,,,372,T,,1
,,,323,H,1,,,,,,373,T,1,
,,,324,H,1,,,,,,374,T,,1
,,,325,H,,1,,,,,375,T,1,
,,,326,H,1,,,,,,376,T,1,
,,,327,H,,1,,,,,377,T,,1
,,,328,H,,1,,,,,378,T,1,
,,,329,H,1,,,,,,379,T,1,
,,,330,H,,1,,,,,380,T,1,
,,,331,H,1,,,,,,381,T,1,
,,,332,H,,1,,,,,382,T,1,
,,,333,H,,1,,,,,383,T,,1
,,,334,H,,1,,,,,384,T,1,
,,,335,H,1,,,,,,385,T,,1
,,,336,H,,1,,,,,386,T,1,
,,,337,H,,1,,,,,387,T,,1
,,,338,H,,1,,,,,388,T,1,
,,,339,H,1,,,,,,389,T,,1
,,,340,H,1,,,,,,390,T,,1
,,,341,H,1,,,,,,391,T,1,
,,,342,H,,1,,,,,392,T,1,
,,,343,H,,1,,,,,393,T,1,
,,,344,H,1,,,,,,394,T,,1
,,,345,H,,1,,,,,395,T,1,
,,,346,H,,1,,,,,396,T,,1
,,,347,H,1,,,,,,397,T,,1
,,,348,H,,1,,,,,398,T,1,
,,,349,H,,1,,,,,399,T,1,
,,,350,H,,1,,,,,400,T,,1
,,,,,,,,,,,,,,
Results,Start 200 H,93,H,,,,,,,,,,,
,Start 200 T,98,T,,,,,,,,,,,
,,,,,,,,,,,,,,
11-Feb,8:11pm,Janet,401,H,1,,,,8:20pm,Priscilla,451,T,,1
,,,402,H,1,,,,,,452,T,1,
,,,403,H,,1,,,,,453,T,1,
,,,404,H,,1,,,,,454,T,1,
,,,405,H,,1,,,,,455,T,,1
,,,406,H,,1,,,,,456,T,1,
,,,407,H,,1,,,,,457,T,,1
,,,408,H,1,,,,,,458,T,1,
,,,409,H,1,,,,,,459,T,,1
